p_do,p_po,t_do,t_po
a dax crinked you a rath .,a dax crinked a rath for you .,the quib galumphed her the zorp .,the quib galumphed the zorp to her .
the narp porked you the borogove .,the narp porked the borogove to you .,a boojum snickered them a tulgey .,a boojum snickered a tulgey for them .
a tumtum snickered you a crunk .,a tumtum snickered a crunk to you .,the uffish pilked her the vlim .,the uffish pilked the vlim for her .
the boojum gimbled me the uffish .,the boojum gimbled the uffish to me .,a bandersnatch crinked you a quib .,a bandersnatch crinked a quib for you .
a wug yomped them a jubjub .,a wug yomped a jubjub to them .,the glorp quilliged him the tove .,the glorp quilliged the tove for him .
the narp whiffled you the vorpal .,the narp whiffled the vorpal for you .,a tulgey snickered them a zib .,a tulgey snickered a zib to them .
the zib pilked him the vorpal .,the zib pilked the vorpal to him .,a bandersnatch glorked her a dril .,a bandersnatch glorked a dril for her .
the blicket strugged us the rath .,the blicket strugged the rath to us .,a slithy crinked them a dax .,a slithy crinked a dax for them .
a rath yomped me a bouba .,a rath yomped a bouba to me .,the blicket galumphed us the boojum .,the blicket galumphed the boojum for us .
the mome gorped them the vorpal .,the mome gorped the vorpal for them .,a crunk porked her a narp .,a crunk porked a narp to her .
a fep crinked us a vorpal .,a fep crinked a vorpal to us .,the borogove gorped you the tove .,the borogove gorped the tove for you .
the kiki crinked him the snark .,the kiki crinked the snark for him .,a fep glorked you a wug .,a fep glorked a wug to you .
a tove strugged them a vlim .,a tove strugged a vlim for them .,the quib burbled her the dril .,the quib burbled the dril to her .
a narp blemed them a vlim .,a narp blemed a vlim to them .,the jubjub glorked you the dril .,the jubjub glorked the dril for you .
a frob fazzed her a vlim .,a frob fazzed a vlim for her .,the tumtum snickered you the jubjub .,the tumtum snickered the jubjub to you .
a tulgey snickered him a snark .,a tulgey snickered a snark for him .,the blicket outgrabed us the fep .,the blicket outgrabed the fep to us .
a glorp gorped us a dax .,a glorp gorped a dax for us .,the fep pilked me the borogove .,the fep pilked the borogove to me .
the tumtum crinked her the kiki .,the tumtum crinked the kiki to her .,a rath chortled them a frabjous .,a rath chortled a frabjous for them .
the kiki fazzed her the boojum .,the kiki fazzed the boojum to her .,a dax yomped me a blicket .,a dax yomped a blicket for me .
a kiki strugged me a zorp .,a kiki strugged a zorp for me .,the snark glorked him the boojum .,the snark glorked the boojum to him .
a fep fazzed her a frabjous .,a fep fazzed a frabjous for her .,the zorp yomped you the slithy .,the zorp yomped the slithy to you .
a dril outgrabed me a frabjous .,a dril outgrabed a frabjous for me .,the blicket quilliged you the wug .,the blicket quilliged the wug to you .
the dril strugged her the dax .,the dril strugged the dax to her .,a wug quilliged us a zorp .,a wug quilliged a zorp for us .
a narp porked them a zorp .,a narp porked a zorp to them .,the jubjub blemed him the manxome .,the jubjub blemed the manxome for him .
a narp pilked me a dril .,a narp pilked a dril to me .,the quib galumphed you the crunk .,the quib galumphed the crunk for you .
the boojum quilliged you the kiki .,the boojum quilliged the kiki for you .,a bouba blemed them a manxome .,a bouba blemed a manxome to them .
a dril burbled me a quib .,a dril burbled a quib for me .,the mome fazzed them the crunk .,the mome fazzed the crunk to them .
the crunk chortled them the wug .,the crunk chortled the wug for them .,a fep gimbled us a tulgey .,a fep gimbled a tulgey to us .
the zib burbled us the blicket .,the zib burbled the blicket for us .,a dax quilliged you a mome .,a dax quilliged a mome to you .
the glorp chortled us the tumtum .,the glorp chortled the tumtum to us .,a boojum strugged him a borogove .,a boojum strugged a borogove for him .
the uffish blemed me the dax .,the uffish blemed the dax to me .,a tove porked her a tulgey .,a tove porked a tulgey for her .
the quib quilliged him the dax .,the quib quilliged the dax for him .,a kiki chortled us a tulgey .,a kiki chortled a tulgey to us .
the borogove outgrabed her the bandersnatch .,the borogove outgrabed the bandersnatch to her .,a uffish glorked us a rath .,a uffish glorked a rath for us .
a bandersnatch glorked me a zib .,a bandersnatch glorked a zib for me .,the tumtum porked you the dril .,the tumtum porked the dril to you .
a wug yomped them a zib .,a wug yomped a zib to them .,the manxome porked him the frob .,the manxome porked the frob for him .
the fep glorked her the quib .,the fep glorked the quib to her .,a uffish yomped me a vorpal .,a uffish yomped a vorpal for me .
the dax whiffled her the dril .,the dax whiffled the dril to her .,a vlim outgrabed us a narp .,a vlim outgrabed a narp for us .
a manxome outgrabed her a blicket .,a manxome outgrabed a blicket for her .,the narp blemed me the boojum .,the narp blemed the boojum to me .
the bandersnatch snickered us the tulgey .,the bandersnatch snickered the tulgey for us .,a dax porked you a zorp .,a dax porked a zorp to you .
the bouba fazzed us the dax .,the bouba fazzed the dax for us .,a rath galumphed them a blicket .,a rath galumphed a blicket to them .
the rath gorped her the tove .,the rath gorped the tove to her .,a bouba outgrabed him a narp .,a bouba outgrabed a narp for him .
the frob galumphed her the narp .,the frob galumphed the narp to her .,a rath blemed me a tumtum .,a rath blemed a tumtum for me .
the slithy gorped her the crunk .,the slithy gorped the crunk for her .,a zib whiffled us a kiki .,a zib whiffled a kiki to us .
a vorpal whiffled you a wug .,a vorpal whiffled a wug to you .,the bouba blemed us the dax .,the bouba blemed the dax for us .
the vorpal gorped me the tulgey .,the vorpal gorped the tulgey to me .,a zib strugged him a tove .,a zib strugged a tove for him .
the tumtum fazzed you the slithy .,the tumtum fazzed the slithy to you .,a frabjous chortled him a kiki .,a frabjous chortled a kiki for him .
a tulgey gimbled you a kiki .,a tulgey gimbled a kiki for you .,the jubjub galumphed them the rath .,the jubjub galumphed the rath to them .
the manxome yomped me the slithy .,the manxome yomped the slithy to me .,a uffish whiffled you a crunk .,a uffish whiffled a crunk for you .
a bouba glorked us a mome .,a bouba glorked a mome to us .,the slithy gorped them the zib .,the slithy gorped the zib for them .
a mome gimbled you a crunk .,a mome gimbled a crunk for you .,the kiki yomped me the frabjous .,the kiki yomped the frabjous to me .
the wug strugged her the manxome .,the wug strugged the manxome to her .,a bouba pilked him a vorpal .,a bouba pilked a vorpal for him .
a mome porked us a glorp .,a mome porked a glorp to us .,the zorp glorked them the boojum .,the zorp glorked the boojum for them .
a narp pilked her a tove .,a narp pilked a tove for her .,the borogove blemed you the zib .,the borogove blemed the zib to you .
a tove snickered her a bandersnatch .,a tove snickered a bandersnatch to her .,the vlim blemed them the frob .,the vlim blemed the frob for them .
the frob pilked her the tove .,the frob pilked the tove for her .,a bouba whiffled me a narp .,a bouba whiffled a narp to me .
the fep snickered her the tove .,the fep snickered the tove for her .,a narp gimbled him a wug .,a narp gimbled a wug to him .
the dax gimbled him the glorp .,the dax gimbled the glorp for him .,a manxome burbled me a narp .,a manxome burbled a narp to me .
the narp whiffled us the vlim .,the narp whiffled the vlim for us .,a dril porked me a snark .,a dril porked a snark to me .
the snark fazzed us the narp .,the snark fazzed the narp to us .,a zorp strugged me a quib .,a zorp strugged a quib for me .
a glorp fazzed us a frabjous .,a glorp fazzed a frabjous for us .,the vlim snickered him the dril .,the vlim snickered the dril to him .
a vlim gimbled us a wug .,a vlim gimbled a wug for us .,the kiki blemed him the manxome .,the kiki blemed the manxome to him .
the jubjub blemed them the zorp .,the jubjub blemed the zorp for them .,a vlim gorped me a manxome .,a vlim gorped a manxome to me .
a uffish pilked him a borogove .,a uffish pilked a borogove to him .,the dril chortled me the zib .,the dril chortled the zib for me .
the bandersnatch outgrabed her the zib .,the bandersnatch outgrabed the zib for her .,a rath crinked you a manxome .,a rath crinked a manxome to you .
a jubjub pilked me a slithy .,a jubjub pilked a slithy to me .,the tove glorked her the mome .,the tove glorked the mome for her .
the vorpal chortled them the zorp .,the vorpal chortled the zorp for them .,a tulgey galumphed us a narp .,a tulgey galumphed a narp to us .
the frob yomped you the zorp .,the frob yomped the zorp for you .,a crunk galumphed him a frabjous .,a crunk galumphed a frabjous to him .
a bandersnatch porked her a bouba .,a bandersnatch porked a bouba for her .,the borogove glorked him the dax .,the borogove glorked the dax to him .
the boojum outgrabed him the vlim .,the boojum outgrabed the vlim to him .,a manxome whiffled us a blicket .,a manxome whiffled a blicket for us .
a boojum galumphed you a blicket .,a boojum galumphed a blicket to you .,the zib outgrabed her the frob .,the zib outgrabed the frob for her .
a rath porked them a wug .,a rath porked a wug for them .,the bouba snickered her the tumtum .,the bouba snickered the tumtum to her .
the uffish snickered them the tumtum .,the uffish snickered the tumtum to them .,a rath porked her a bouba .,a rath porked a bouba for her .
the wug galumphed us the mome .,the wug galumphed the mome to us .,a bouba outgrabed her a blicket .,a bouba outgrabed a blicket for her .
the blicket porked him the bandersnatch .,the blicket porked the bandersnatch to him .,a dax snickered you a quib .,a dax snickered a quib for you .
the borogove chortled them the quib .,the borogove chortled the quib for them .,a boojum fazzed us a rath .,a boojum fazzed a rath to us .
the glorp blemed me the vorpal .,the glorp blemed the vorpal to me .,a zorp porked her a manxome .,a zorp porked a manxome for her .
the borogove burbled us the tove .,the borogove burbled the tove for us .,a frob gorped me a zib .,a frob gorped a zib to me .
the bandersnatch glorked him the tove .,the bandersnatch glorked the tove for him .,a wug whiffled me a blicket .,a wug whiffled a blicket to me .
the fep gorped me the rath .,the fep gorped the rath to me .,a wug fazzed you a snark .,a wug fazzed a snark for you .
the tove strugged him the borogove .,the tove strugged the borogove to him .,a narp porked you a glorp .,a narp porked a glorp for you .
a tove whiffled us a narp .,a tove whiffled a narp for us .,the jubjub pilked me the kiki .,the jubjub pilked the kiki to me .
a quib yomped us a wug .,a quib yomped a wug for us .,the tumtum outgrabed her the manxome .,the tumtum outgrabed the manxome to her .
the fep yomped them the frabjous .,the fep yomped the frabjous for them .,a glorp gorped us a dril .,a glorp gorped a dril to us .
the snark snickered them the zib .,the snark snickered the zib for them .,a fep gorped her a dax .,a fep gorped a dax to her .
a rath quilliged us a bouba .,a rath quilliged a bouba for us .,the zib galumphed him the tumtum .,the zib galumphed the tumtum to him .
a wug gorped them a bandersnatch .,a wug gorped a bandersnatch for them .,the jubjub galumphed you the borogove .,the jubjub galumphed the borogove to you .
the tulgey porked you the wug .,the tulgey porked the wug to you .,a narp blemed me a crunk .,a narp blemed a crunk for me .
the mome glorked him the frabjous .,the mome glorked the frabjous to him .,a slithy crinked me a tulgey .,a slithy crinked a tulgey for me .
